Código de Barras;Tipo de Produto;Descrição;Preço de Custo;Preço Venda Varejo;Preço Venda Atacado;Quantidade Mínima Atacado;Unidade;Ativo;Categoria do Produto;Subcategoria do Produto;Movimenta Estoque;Estoque mínimo;Quantidade em Estoque;Marca;Modelo;Código Balança;Código Interno;Tags;Tipo;NCM;CFOP;ORIGEM;CEST;Categoria PDV;Botão PDV;Categoria na Loja Virtual;Subcategoria na Loja Virtual;Nome na Loja Virtual;Preço De;Preço Por;Altura (cm);Largura (cm);Profundidade (cm);Peso (Kg);Descrição do Produto;Garantia;Itens Inclusos;Especificações
2000000000180;Produto;Saia para Carnaval;8;15;0;0;Unidade;Sim;Variedade;Variedade;Sim;1;0;Importado;;;;;Mercadoria para Revenda;;5102;0;;;;;;Saia para Carnaval;0;15;0;0;0;0;;;;
2000000000175;Produto;Saco de Confete;1;3;0;0;Unidade;Sim;Variedade;Variedade;Sim;1;0;Importado;;;;;Mercadoria para Revenda;47079000;5102;0;;;;;;Saco de Confete;0;3;0;0;0;0;;;;
2000000000329;Produto;Kit Pinça para Sobrancelha Importado 6225480185885;2;10;0;0;Unidade;Sim;Variedade;Tesoura;Sim;1;10;Importado;;;;;Mercadoria para Revenda;82130000;5102;0;0801800;;;Variedade;Tesoura;Kit Pinça para Sobrancelha Importado 6225480185885;0;10;0;0;0;0;;;;
6952435900995;Produto;Tesoura Reta Sekich;4;8;0;0;Unidade;Sim;Variedade;Tesoura;Sim;1;1;Original Line;;;;;Mercadoria para Revenda;82130000;5102;2;0801800;;;Variedade;Tesoura;Tesoura Reta Sekich;0;5;0;0;0;0;;;;
6955108769257;Produto;Kit Tesoura Navy Pro Importado;4,89;10;0;0;Unidade;Sim;Variedade;Tesoura;Sim;1;1;Importado;;;;;Mercadoria para Revenda;82130000;5102;2;0801800;;;Variedade;Tesoura;Kit Tesoura Navy Pro Importado;0;10;0;0;0;0;;;;
2000000000330;Produto;Kit Pinça para Sobrancelha Importado 6522223502511;5,5;10;0;0;Unidade;Sim;Variedade;Tesoura;Sim;1;3;Importado;;;;;Mercadoria para Revenda;82130000;5102;0;0801800;;;Variedade;Tesoura;Kit Pinça para Sobrancelha Importado 6522223502511;0;10;0;0;0;0;;;;
7890000079129;Produto;Espelho Mingpai;8,5;15;0;0;Unidade;Sim;Acessório;Espelho;Sim;1;0;Importado;;;;;Mercadoria para Revenda;70099200;5102;2;1008000;;;Acessório;Espelho;Espelho Mingpai;0;15;0;0;0;0;;;;
609963163991;Produto;Xarope Expectorante Mel e Própolis 220g;2,35;5;0;0;Unidade;Sim;Variedade;Suplemento;Sim;1;1;Farmacopéia Brasileira;;;;;Mercadoria para Revenda;30039049;5102;0;1300402;;;Variedade;Suplemento;Xarope Expectorante Mel e Própolis 220g;0;5;0;0;0;0;;;;
630941473351;Produto;Xarope Expectorante Megaturbo Hortelã 220g;2,35;5;0;0;Unidade;Sim;Variedade;Suplemento;Sim;1;3;Farmacopéia Brasileira;;;;;Mercadoria para Revenda;30039049;5102;0;1300402;;;Variedade;Suplemento;Xarope Expectorante Megaturbo Hortelã 220g;0;5;0;0;0;0;;;;
7898136150019;Produto;Algodão Nathy 25g;1;3;0;0;Unidade;Sim;Variedade;Algodão;Sim;1;2;ERS;;;;;Mercadoria para Revenda;30059090;5102;0;1301100;;;Variedade;Algodão;Algodão Nathy 25g;0;2,5;0;0;0;0;;;;
2000000000014;Produto;Porta Cartão Stitch;7;10;0;0;Unidade;Sim;Variedade;Variedade;Sim;1;8;Importado;;;;;Mercadoria para Revenda;39261000;5102;2;1900400;;;Variedade;Variedade;Porta Cartão Stitch;0;10;0;0;0;0;;;;
2000000000140;Produto;Chaveiro Stitch;5;10;0;0;Unidade;Sim;Variedade;Chaveiro;Sim;1;5;Importado;;;;;Mercadoria para Revenda;39261000;5102;0;1900400;;;Variedade;Chaveiro;Chaveiro Stitch;0;10;0;0;0;0;;;;
2000000000149;Produto;Kit Escolar com Grampeador e Fita Importado;6;10;0;0;Unidade;Sim;Variedade;Variedade;Sim;1;2;Importado;;;;;Mercadoria para Revenda;39261000;5102;2;1900400;;;Variedade;Variedade;Kit Escolar com Grampeador e Fita Importado;0;10;0;0;0;0;;;;
2000000000228;Produto;Porta Joia Pequeno Importado;8;15;0;0;Unidade;Sim;Variedade;Variedade;Sim;1;3;Importado;;;;;Mercadoria para Revenda;42021900;5102;2;1900501;;;;;Porta Joia Pequeno Importado;0;15;0;0;0;0;;;;
2000000000229;Produto;Porta Joia Grande Importado;12;25;0;0;Unidade;Sim;Variedade;Variedade;Sim;1;1;Importado;;;;;Mercadoria para Revenda;42021900;5102;2;1900501;;;;;Porta Joia Grande Importado;0;25;0;0;0;0;;;;
2000000000133;Produto;Caneta 10 Cores;6;10;0;0;Unidade;Sim;Variedade;Variedade;Sim;1;0;Importado;;;;;Mercadoria para Revenda;96081000;5102;0;1902700;;;Variedade;Variedade;Caneta 10 Cores;0;10;0;0;0;0;;;;
2000000000134;Produto;Caneta Stitch;4;10;0;0;Unidade;Sim;Variedade;Variedade;Sim;1;4;Importado;;;;;Mercadoria para Revenda;96081000;5102;0;1902700;;;Variedade;Variedade;Caneta Stitch;0;10;0;0;0;0;;;;
2000000000262;Produto;Caneta de Colorir 24 Peças;24;55;0;0;Unidade;Sim;Variedade;Variedade;Sim;1;1;Importado;;;;;Mercadoria para Revenda;96083000;5102;2;1902900;;;;;Caneta de Colorir 24 Peças;0;55;0;0;0;0;;;;
2000000000268;Produto;Caneta de Colorir 12 Peças 7899899880328;8;15;0;0;Unidade;Sim;Variedade;Variedade;Sim;1;2;Importado;;;;;Mercadoria para Revenda;96083000;5102;2;1902900;;;;;Caneta de Colorir 12 Peças 7899899880328;0;15;0;0;0;0;;;;
2000000000382;Produto;Caneta de Colorir 10 Peças 7899899740936;14;25;0;0;Unidade;Sim;Variedade;Variedade;Sim;1;0;Importado;;;;;Mercadoria para Revenda;96083000;5102;2;1902900;;;;;Caneta de Colorir 10 Peças 7899899740936;0;25;0;0;0;0;;;;
7909438052588;Produto;Caneta Gel Cis;15;25;0;0;Unidade;Sim;Variedade;Variedade;Sim;1;0;Importado;;;;;Mercadoria para Revenda;96083000;5102;2;1902900;;;;;Caneta Gel Cis;0;25;0;0;0;0;;;;
2000000000392;Produto;Caneta de Colorir 12 Peças 7899899732160;8;15;0;0;Unidade;Sim;Variedade;Variedade;Sim;1;0;Importado;;;;;Mercadoria para Revenda;96083000;5102;2;1902900;;;;;Caneta de Colorir 12 Peças 7899899732160;0;15;0;0;0;0;;;;
2000000000393;Produto;Caneta de Colorir 12 Peças 7899899890648;8;15;0;0;Unidade;Sim;Variedade;Variedade;Sim;1;1;Importado;;;;;Mercadoria para Revenda;96083000;5102;2;1902900;;;;;Caneta de Colorir 12 Peças 7899899890648;0;15;0;0;0;0;;;;
2000000000416;Produto;Caneta de Colorir 12 Peças;15;28;0;0;Unidade;Sim;Variedade;Variedade;Sim;1;0;Importado;;;;;Mercadoria para Revenda;96083000;;2;1902900;;;;;Caneta de Colorir 12 Peças;0;28;0;0;0;0;;;;
2000000000411;Produto;Caneta de Colorir 12 Peças 6953106723318;20;30;0;0;Unidade;Sim;Variedade;Variedade;Sim;1;1;Importado;;;;;Mercadoria para Revenda;96083000;5102;2;1902900;;;;;Caneta de Colorir 12 Peças 6953106723318;0;30;0;0;0;0;;;;
2000000000436;Produto;Caneta de Colorir 48 Peças;68;110;0;0;Unidade;Sim;Variedade;Variedade;Sim;1;0;Importado;;;;;Mercadoria para Revenda;96083000;;2;1902900;;;;;Caneta de Colorir 48 Peças;0;110;0;0;0;0;;;;
7899899774054;Produto;Caneta de Colorir 60 Peças;35;125;0;0;Unidade;Sim;Variedade;Variedade;Sim;1;3;Importado;;;;;Mercadoria para Revenda;96083000;;2;1902900;;;;;Caneta de Colorir 60 Peças;0;125;0;0;0;0;;;;
2000000000325;Produto;Caneta de Colorir 36 Peças;55;85;0;0;Unidade;Sim;Variedade;Variedade;Sim;1;1;Importado;;;;;Mercadoria para Revenda;96083000;5102;2;1902900;;;;;Caneta de Colorir 36 Peças;0;85;0;0;0;0;;;;
2000000000277;Produto;Caneta de Colorir 6 Peças;10;15;0;0;Unidade;Sim;Variedade;Variedade;Sim;1;0;Importado;;;;;Mercadoria para Revenda;96083000;5102;2;1902900;;;;;Caneta de Colorir 6 Peças;0;15;0;0;0;0;;;;
7908878802296;Produto;Caneta de Colorir 24 Peças Primax;20;55;0;0;Unidade;Sim;Variedade;Variedade;Sim;1;1;Importado;;;;;Mercadoria para Revenda;96083000;5102;2;1902900;;;;;Caneta de Colorir 24 Peças Primax;0;55;0;0;0;0;;;;
7899506132949;Produto;Henna Marrom Makiaj 10ml;8;16;0;0;Unidade;Sim;Maquiagem;Henna;Sim;1;2;Makiaj;;;;;Mercadoria para Revenda;12119090;5102;0;2000100;;;Maquiagem;Henna;Henna Marrom Makiaj 10ml;0;16;0;0;0;0;;;;
7899506132956;Produto;Henna Preto Makiaj 10ml;8;16;0;0;Unidade;Sim;Maquiagem;Henna;Sim;1;1;Makiaj;;;;;Mercadoria para Revenda;12119090;5102;0;2000100;;;Maquiagem;Henna;Henna Preto Makiaj 10ml;0;16;0;0;0;0;;;;
7899506132932;Produto;Henna Castanho Escuro Makiaj 10ml;8;16;0;0;Unidade;Sim;Maquiagem;Henna;Sim;1;3;Makiaj;;;;;Mercadoria para Revenda;12119090;5102;0;2000100;;;Maquiagem;Henna;Henna Castanho Escuro Makiaj 10ml;0;16;0;0;0;0;;;;
7899506132925;Produto;Henna Castanho Médio Makiaj 10ml;8;16;0;0;Unidade;Sim;Maquiagem;Henna;Sim;1;1;Makiaj;;;;;Mercadoria para Revenda;12119090;5102;0;2000100;;;Maquiagem;Henna;Henna Castanho Médio Makiaj 10ml;0;16;0;0;0;0;;;;
7909605002545;Produto;Henna Mega Fixação Blue Moon;5,5;10;0;0;Unidade;Sim;Maquiagem;Henna;Sim;1;0;Blue Moon;;;;;Mercadoria para Revenda;12119090;5102;0;2000100;;;Maquiagem;Henna;Henna Mega Fixação Blue Moon;0;10;0;0;0;0;;;;
7898721160027;Produto;Henna Castanho Escuro Isis Rezende Make-Up 10ml;5,5;10;0;0;Unidade;Sim;Maquiagem;Henna;Sim;1;0;Isis Rezende Make-Up;;;;;Mercadoria para Revenda;12119090;5102;0;2000100;;;Maquiagem;Henna;Henna Castanho Escuro Isis Rezende Make-Up 10ml;0;10;0;0;0;0;;;;
7898449401327;Produto;Parafina Líquida Fragrância Suave Phállebeauty 110ml;10;18;0;0;Unidade;Sim;Corpo;Parafina;Sim;1;3;Phállebeauty;;;;;Mercadoria para Revenda;27121000;5102;0;2000200;;;Corpo;Parafina;Parafina Líquida Fragrância Suave Phállebeauty 110ml;0;18;0;0;0;0;;;;
7446894400824;Produto;Gel Aromatizante para Virilha Bubbslove Wet 300ml;7;15;0;0;Unidade;Sim;Corpo;Gel;Sim;1;0;Importado;;;;;Mercadoria para Revenda;30067000;5102;2;2000500;;;;;Gel Aromatizante para Virilha Bubbslove Wet 300ml;0;15;0;0;0;0;;;;
7898721162786;Produto;Gel Aromatizante Beijável Hidratante para Corpo e Virilha Creme de Morango Isis 250ml;9;18;0;0;Unidade;Não;Corpo;Gel;Sim;1;0;Isis Rezende Make-Up;;;;;Mercadoria para Revenda;30067000;5102;0;2000500;;;;;Gel Aromatizante Beijável Hidratante para Corpo e Virilha Creme de Morango Isis 250ml;0;18;0;0;0;0;;;;
7898675203641;Produto;Gel Umectante Rapidinha Neutro Sexy Fantasy;6,13;10;0;0;Unidade;Sim;Sex Shop;Gel;Sim;1;0;Sexy Fantasy;;;;;Mercadoria para Revenda;30067000;5102;0;2000500;;;;;Gel Umectante Rapidinha Neutro Sexy Fantasy;0;10;0;0;0;0;;;;
7898675203634;Produto;Gel Umectante Rapidinha Morango Sexy Fantasy;6,13;10;0;0;Unidade;Sim;Sex Shop;Gel;Sim;1;0;Sexy Fantasy;;;;;Mercadoria para Revenda;30067000;5102;0;2000500;;;;;Gel Umectante Rapidinha Morango Sexy Fantasy;0;10;0;0;0;0;;;;
7898675203627;Produto;Gel Umectante Rapidinha Chiclete Sexy Fantasy;6,13;10;0;0;Unidade;Sim;Sex Shop;Gel;Sim;1;0;Sexy Fantasy;;;;;Mercadoria para Revenda;30067000;5102;0;2000500;;;;;Gel Umectante Rapidinha Chiclete Sexy Fantasy;0;10;0;0;0;0;;;;
7898718551074;Produto;Gel Aromatizante para Virilha Beijável Beijinho Doce Abacaxi com Leite de Coco Aloquímica 250g;7,95;15;0;0;Unidade;Sim;Corpo;Gel;Sim;1;11;Aloquímica;;;;;Mercadoria para Revenda;30067000;5102;0;2000500;;;;;Gel Aromatizante para Virilha Beijável Beijinho Doce Abacaxi com Leite de Coco Aloquímica 250g;0;15;0;0;0;0;;;;
7446894399524;Produto;Gel Aromatizante para Virilha Beijável Beijinho Doce Morango com Chantilly Aloquímica 250g;7;15;0;0;Unidade;Sim;Corpo;Gel;Sim;1;1;Aloquímica;;;;;Mercadoria para Revenda;30067000;5102;2;2000500;;;;;Gel Aromatizante para Virilha Beijável Beijinho Doce Morango com Chantilly Aloquímica 250g;0;15;0;0;0;0;;;;
2000000000155;Produto;BOLSO LAPOST 24 ML FERRAZ - 102 C.S;0,01;0;0;0;UNID;Sim;;;Sim;0;2;;;;2057;;Mercadoria para Revenda;33030020;5102;0;2000800;;;;;;0;0;0;0;0;0;;;;
2000000000156;Produto;BOLSO LAPOST 24 ML SILVESTRE - 105 C.S;0,01;0;0;0;UNID;Sim;;;Sim;0;2;;;;2068;;Mercadoria para Revenda;33030020;5102;0;2000800;;;;;;0;0;0;0;0;0;;;;
2000000000157;Produto;BOLSO LAPOST 24 ML 521 VIP - 100 C.S;0,01;0;0;0;UNID;Sim;;;Sim;0;3;;;;2054;;Mercadoria para Revenda;33030020;5102;0;2000800;;;;;;0;0;0;0;0;0;;;;
7899820810301;Produto;Lip Oil Boom Efeito Rosado Luisance 4ml;6,19;10;0;0;Unidade;Sim;Maquiagem;Gloss;Sim;1;2;Luisance;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Maquiagem;Gloss;Lip Oil Boom Efeito Rosado Luisance 4ml;0;10;0;0;0;0;;;;
7900083008524;Produto;Gloss Labial Silk Skin Cinnamon Glow Ruby Rose 5ml;6,5;10;0;0;Unidade;Sim;Maquiagem;Gloss;Sim;1;2;Ruby Rose;;;;;Mercadoria para Revenda;33041000;5102;0;2000900;;;Maquiagem;Gloss;Gloss Labial Silk Skin Cinnamon Glow Ruby Rose 5ml;0;10;0;0;0;0;;;;
