Código de Barras;Tipo de Produto;Descrição;Preço de Custo;Preço Venda Varejo;Unidade;Ativo;Categoria do Produto;Subcategoria do Produto;Movimenta Estoque;Estoque mínimo;Quantidade em Estoque;Marca;NCM;CEST;Origem
7,89985E+12;Produto;Base Líquida Matte Cor 350 Adversa 25g;12.83;20.00;Unidade;Sim;Maquiagem;Base Líquida;Sim;1.000;0.000;Adversa;33049990;2001500;0
7,89985E+12;Produto;Base Líquida Matte Cor 400 Adversa 25g;12.83;20.00;Unidade;Sim;Maquiagem;Base Líquida;Sim;1.000;1.000;Adversa;33049990;2001500;0
7,89985E+12;Produto;Base Líquida Matte Cor 500 Adversa 25g;11.15;20.00;Unidade;Sim;Maquiagem;Base Líquida;Sim;1.000;0.000;Adversa;33049990;2001500;0
7,89985E+12;Produto;Base Líquida Matte Cor 300 Adversa 25g;11.15;20.00;Unidade;Sim;Maquiagem;Base Líquida;Sim;1.000;0.000;Adversa;33049990;2001500;0
7,89985E+12;Produto;Base Líquida Matte Cor 360 Adversa 25g;12.27;20.00;Unidade;Sim;Maquiagem;Base Líquida;Sim;1.000;2.000;Adversa;33049990;2001500;0
7,89864E+12;Produto;Gel Fixador Age Cosméticos 220g;2.50;5.00;Unidade;Sim;Cabelo;Gel;Sim;1.000;15.000;Age Cosméticos;33049910;2001400;0
7,89864E+12;Produto;Gel Cola Extra Forte Age Cosméticos 220g;3.50;8.00;Unidade;Sim;Cabelo;Gel;Sim;1.000;13.000;Age Cosméticos;33049910;2001400;0
7,89899E+12;Produto;Removedor de Esmalte Acetona Age 80ml;3.04;3.50;Unidade;Sim;Unha;Removedor;Sim;1.000;22.000;Age Cosméticos;33043000;2001200;0
2E+12;Produto;Sérum Reparador de Pontas Termoprotetor Gold 30ml;5.00;10.00;Unidade;Sim;Cabelo;Reparador de Portas;Sim;1.000;1.000;Age Cosméticos;33049910;2001400;0
2E+12;Produto;Sérum Reparador de Pontas Fios Saudáveis Gold 30ml;5.00;10.00;Unidade;Sim;Cabelo;Reparador de Portas;Sim;1.000;0.000;Age Cosméticos;33049910;2001400;0
2E+12;Produto;Sérum Reparador de Pontas Anti-ressecamento Gold 30ml;5.00;10.00;Unidade;Sim;Cabelo;Reparador de Portas;Sim;1.000;1.000;Age Cosméticos;33049910;2001400;0
